word_simplified,word_traditional,pinyin,pinyin_style2,hsk30_level,hsk30_level_zh,cc_cedict_english_definition
工作,工作,gōng zuò,gong1 zuo4,1,一级,"to work/(of a machine) to operate/job/work/task/CL:個|个[ge4],份[fen4],項|项[xiang4]"
关,關,guān,guan1,1,一级,"mountain pass/to close; to shut; to turn off/to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc)/to concern; to involve"
关上,關上,guān shàng,guan1 shang4,1,一级,"to close (a door)/to turn off (light, electrical equipment etc)"
贵,貴,guì,gui4,1,一级,expensive/noble/precious/(honorific) your
国,國,guó,guo2,1,一级,country; nation; state (CL:個|个[ge4])/(bound form) national
过,過,guò,guo4,1,一级,(experienced action marker)
国家,國家,guó jiā,guo2 jia1,1,一级,country; nation; state/CL:個|个[ge4]
国外,國外,guó wài,guo2 wai4,1,一级,abroad/external (affairs)/overseas/foreign
还,還,hái,hai2,1,一级,to pay back/to return
还,還,hái,hai2,1,一级,to pay back/to return
还有,還有,hái yǒu,hai2 you3,1,一级,furthermore/in addition/still/also
还是,還是,hái shì,hai2 shi4,1,一级,still (as before)/had better/unexpectedly/or
孩子,孩子,hái zi,hai2 zi,1,一级,child
汉语,漢語,hàn yǔ,han4 yu3,1,一级,Chinese language/CL:門|门[men2]
汉字,漢字,hàn zì,han4 zi4,1,一级,Chinese character/CL:個|个[ge4]/Japanese: kanji/Korean: hanja/Vietnamese: hán tự
好吃,好吃,hǎo chī,hao3 chi1,1,一级,to be fond of eating/to be gluttonous
好,好,hǎo,hao3,1,一级,to be fond of; to have a tendency to; to be prone to
号,號,hào,hao4,1,一级,ordinal number/day of a month/mark/sign/business establishment/size/ship suffix/horn (wind instrument)/bugle call/assumed name/to take a pulse/classifier used to indicate number of people
好看,好看,hǎo kàn,hao3 kan4,1,一级,"good-looking/nice-looking/good (of a movie, book, TV show etc)/embarrassed/humiliated"
好听,好聽,hǎo tīng,hao3 ting1,1,一级,pleasant to hear
好玩儿,好玩兒,hǎo wán ér,hao3 wan2 er2,1,一级,erhua variant of 好玩[hao3 wan2]
和,"和,咊,龢",hé,he2,1,一级,old variant of 和[he2]/harmonious
喝,喝,hē,he1,1,一级,to shout
很,很,hěn,hen3,1,一级,(adverb of degree)/quite/very/awfully
后,"後,后",hòu,hou4,1,一级,back/behind/rear/afterwards/after/later/post-
后边,後邊,hòu biān,hou4 bian1,1,一级,the back; the rear; the last bit/behind; near the end; at the back/later; afterwards
后天,後天,hòu tiān,hou4 tian1,1,一级,"the day after tomorrow/life after birth (the period in which one develops through experiences, contrasted with 先天[xian1 tian1])/acquired (not innate or congenital)/a posteriori"
话,"話,諙",huà,hua4,1,一级,old variant of 話|话[hua4]
花,"花,芲,蘤",huā,hua1,1,一级,variant of 花[hua1]/flower/blossom/also pr. [wei3]
