hanzi_sc,hanzi_trad,pinyin,pinyin_style2,level,level_zh,cc_cedict_definitions
赛,賽,sài,sai4,3,初等|三级,to compete/competition/match/to surpass/better than/superior to/to excel
任,任,rèn,ren4,3,初等|三级,"to assign/to appoint/to take up a post/office/responsibility/to let/to allow/to give free rein to/no matter (how, what etc)/classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)"
何,何,hé,he2,3,初等|三级,what/how/why/which/carry
决,決,jué,jue2,3,初等|三级,to decide/to determine/to execute (sb)/(of a dam etc) to breach or burst/definitely/certainly
连,連,lián,lian2,3,初等|三级,"to link/to join/to connect/continuously/in succession/including/(used with 也[ye3], 都[dou1] etc) even/company (military)"
较,較,jiào,jiao4,3,初等|三级,to compare/to dispute/compared to/(before adj.) relatively/comparatively/rather/also pr. [jiao3]
城,城,chéng,cheng2,3,初等|三级,"city walls/city/town/CL:座[zuo4],道[dao4],個|个[ge4]"
式,式,shì,shi4,3,初等|三级,type/form/pattern/style
解,解,jiě,jie3,3,初等|三级,acrobatic display (esp. on horseback) (old)/variant of 懈[xie4] and 邂[xie4] (old)
死,死,sǐ,si3,3,初等|三级,to die/impassable/uncrossable/inflexible/rigid/extremely/damned
员,員,yuán,yuan2,3,初等|三级,(bound form) person engaged in a certain field of activity/(bound form) member
展,展,zhǎn,zhan3,3,初等|三级,to spread out/to open up/to exhibit/to put into effect/to postpone/to prolong/exhibition
支,支,zhī,zhi1,3,初等|三级,"to support/to sustain/to erect/to raise/branch/division/to draw money/classifier for rods such as pens and guns, for army divisions and for songs or compositions"
持,持,chí,chi2,3,初等|三级,to hold/to grasp/to support/to maintain/to persevere/to manage/to run (i.e. administer)/to control
功,功,gōng,gong1,3,初等|三级,meritorious deed or service/achievement/result/service/accomplishment/work (physics)
此,此,cǐ,ci3,3,初等|三级,this; these
社,社,shè,she4,3,初等|三级,(bound form) society; organization; agency/(old) god of the land
消,消,xiāo,xiao1,3,初等|三级,to diminish; to subside/to consume; to reduce/to idle away (the time)/(after 不[bu4] or 只[zhi3] or 何[he2] etc) to need; to require; to take
强,強,qiáng,qiang2,3,初等|三级,variant of 強|强[qiang3]
技,技,jì,ji4,3,初等|三级,skill
术,術,shù,shu4,3,初等|三级,"various genera of flowers of Asteracea family (daisies and chrysanthemums), including Atractylis lancea"
切,切,qiè,qie4,3,初等|三级,"definitely; absolutely (not)/(scoffing or dismissive interjection) Yeah, right.; Tut!/to grind/(bound form) close to/(bound form) eager/to correspond to/(used to indicate that the fanqie 反切[fan3 qie4] system should be applied to the previous two characters)"
调,調,diào,diao4,3,初等|三级,to harmonize/to reconcile/to blend/to suit well/to adjust/to regulate/to season (food)/to provoke/to incite
区,區,qū,qu1,3,初等|三级,area/region/district/small/distinguish/CL:個|个[ge4]
